PName,POS,GP,MPG,PTS,AST,REB,FG%,3P%,TOV,STL,BLK,+/-
Quentin Grimes,SG,71,29.871830985915494,11.253521126760564,2.112676056338028,3.2253521126760565,46.8,38.6,0.971830985915493,0.6619718309859155,0.36619718309859156,186
Mike Conley,PG,67,30.270149253731343,11.91044776119403,6.7164179104477615,2.716417910447761,42.8,38.5,1.537313432835821,1.0895522388059702,0.208955223880597,60
Onyeka Okongwu,PF,80,23.107499999999998,9.8875,1.0125,7.2,63.8,30.8,1.0125,0.7,1.3375,63
Shaedon Sharpe,SG,80,22.232499999999998,9.8625,1.175,2.95,47.2,36.0,1.0375,0.475,0.3,-297
Killian Hayes,PG,76,28.336842105263155,10.342105263157896,6.184210526315789,2.9078947368421053,37.7,28.0,2.276315789473684,1.368421052631579,0.3684210526315789,-500
Cole Anthony,PG,60,25.863333333333333,13.016666666666667,3.9166666666666665,4.8,45.4,36.4,1.5166666666666666,0.6166666666666667,0.5166666666666667,-26
Naz Reid,C,68,18.39558823529412,11.485294117647058,1.1323529411764706,4.897058823529412,53.7,34.6,1.3529411764705883,0.6176470588235294,0.7794117647058824,-128
De'Anthony Melton,SG,77,27.919480519480523,10.12987012987013,2.5584415584415585,4.0519480519480515,42.5,39.0,1.3246753246753247,1.6363636363636365,0.5324675324675324,102
Clint Capela,C,65,26.616923076923076,11.984615384615385,0.8923076923076924,11.03076923076923,65.3,0.0,0.8307692307692308,0.6923076923076923,1.2153846153846153,-30
Tari Eason,F,82,21.55121951219512,9.268292682926829,1.0731707317073171,6.048780487804878,44.8,34.3,1.2317073170731707,1.170731707317073,0.573170731707317,-157
Bogdan Bogdanovic,SG,54,27.937037037037037,14.0,2.7777777777777777,3.0555555555555554,44.7,40.6,1.2037037037037037,0.7962962962962963,0.3333333333333333,64
Jalen McDaniels,PF,80,23.911250000000003,9.4375,1.625,4.325,45.5,33.2,1.1625,1.0375,0.425,-149
Zion Williamson,PF,29,32.96896551724138,26.0,4.586206896551724,6.9655172413793105,60.8,36.8,3.413793103448276,1.103448275862069,0.5517241379310345,149
Grayson Allen,SG,72,27.390277777777776,10.416666666666666,2.263888888888889,3.2916666666666665,44.0,39.9,1.0,0.8611111111111112,0.19444444444444445,227
Josh Hart,SG,76,32.28947368421053,9.776315789473685,3.8157894736842106,7.802631578947368,52.9,37.2,1.5394736842105263,1.1578947368421053,0.27631578947368424,315
Aaron Nesmith,SF,73,24.88219178082192,10.10958904109589,1.3424657534246576,3.7945205479452055,42.7,36.6,1.0273972602739727,0.7534246575342466,0.4657534246575342,-211
Gordon Hayward,SF,50,31.538,14.66,4.12,4.3,47.5,32.5,1.98,0.84,0.24,-108
Zach Collins,PF,63,22.866666666666664,11.603174603174603,2.857142857142857,6.380952380952381,51.8,37.4,2.0476190476190474,0.5873015873015873,0.7777777777777778,-239
Marcus Morris Sr.,SF,65,28.078461538461536,11.2,1.7538461538461538,3.9692307692307693,42.6,36.5,0.8615384615384616,0.6461538461538462,0.3230769230769231,-16
Coby White,PG,74,23.38108108108108,9.662162162162161,2.7567567567567566,2.864864864864865,44.3,37.2,1.0,0.7297297297297297,0.08108108108108109,143
Terance Mann,SG,81,23.113580246913582,8.802469135802468,2.271604938271605,3.4074074074074074,51.9,38.9,0.9876543209876543,0.5185185185185185,0.2716049382716049,2
Chris Boucher,PF,76,20.04605263157895,9.368421052631579,0.3815789473684211,5.5394736842105265,49.3,32.8,0.5394736842105263,0.618421052631579,0.8421052631578947,-18
Andrew Nembhard,PG,75,27.64666666666667,9.453333333333333,4.546666666666667,2.6533333333333333,44.1,35.0,1.68,0.9333333333333333,0.17333333333333334,-263
Rui Hachimura,PF,63,23.26984126984127,11.222222222222221,0.9206349206349206,4.492063492063492,48.6,31.9,0.8412698412698413,0.30158730158730157,0.4126984126984127,-28
Daniel Gafford,C,78,20.566666666666666,9.038461538461538,1.0769230769230769,5.551282051282051,73.2,0.0,1.0897435897435896,0.4230769230769231,1.2692307692307692,-89
Jaylen Nowell,SG,65,19.256923076923076,10.830769230769231,2.0307692307692307,2.6153846153846154,44.8,28.9,1.0,0.6461538461538462,0.07692307692307693,-8
Devin Vassell,SG,38,31.002631578947366,18.5,3.5789473684210527,3.8947368421052633,43.9,38.7,1.5,1.131578947368421,0.4473684210526316,-295
Marcus Smart,PG,61,32.07868852459016,11.524590163934427,6.262295081967213,3.1311475409836067,41.5,33.6,2.3442622950819674,1.5245901639344261,0.3770491803278688,240
Naji Marshall,SF,77,23.272727272727273,9.064935064935066,2.4545454545454546,3.6233766233766236,43.3,30.3,1.2597402597402598,0.7012987012987013,0.18181818181818182,6
Talen Horton-Tucker,SG,65,20.203076923076924,10.738461538461538,3.7846153846153845,3.230769230769231,41.9,28.6,1.9384615384615385,0.6307692307692307,0.4461538461538462,-8
Deni Avdija,SF,76,26.58421052631579,9.171052631578947,2.776315789473684,6.407894736842105,43.7,29.7,1.618421052631579,0.8552631578947368,0.3815789473684211,-51
Santi Aldama,PF,77,21.84025974025974,9.03896103896104,1.2597402597402598,4.818181818181818,47.0,35.3,0.7792207792207793,0.5844155844155844,0.6233766233766234,91
Jusuf Nurkic,C,52,26.75769230769231,13.346153846153847,2.8653846153846154,9.057692307692308,51.9,36.1,2.2884615384615383,0.8269230769230769,0.8461538461538461,9
Reggie Jackson,PG,68,24.366176470588236,10.191176470588236,3.426470588235294,2.1176470588235294,41.1,33.3,1.6911764705882353,0.6911764705882353,0.08823529411764706,-79
